ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
1315|tenki wa kisetsu ni yotte yokattari warukattari shimasu.|天気は季節によってよかったり悪かったりします。|The weather is good or bad depending on the season.|Le temps est bon ou mauvais selon la saison.|El tiempo es bueno o malo dependiendo de la temporada.|
1316|kyouto wa kisetsu ni yotte kondeitari kondeinakattari shimasu.|京都は季節によって混んでいたりこんでいなかったりします。|Kyoto is crowded or empty depending on the season.|Kyoto est bondée ou vide selon la saison.|Kyoto está llena o vacía dependiendo de la temporada.|
1317|chuushoku wa hi ni yotte kaisha de tabetari soto de tabetari shimasu.|昼食は日によって会社で食べたり外で食べたり。|(I) eat lunch at work or outside depending on the day.|(Je) mange le déjeuner au travail ou à l'extérieur selon le jour.|(Yo) come el almuerzo en el trabajo o en el exterior, dependiendo del día.|
1318|choushoku wa ni ni yotte pan dattari gohan dattari shimasu.|朝食は日によってパンだったりご飯だったりします。|Breakfast is (comprised of) bread or rice depending on the day.|Le petit déjeuner est (composé de) pain ou de riz en fonction du jour.|El desayuno se (compuesto por) pan o arroz, dependiendo del día.|
1319|hoomu ga takusan atte wakari nikui desu.|ホームがたくさんあってわかりにくいです。|There are so many platforms it it difficult to understand (which one to get on).|Il y a tellement de plateformes qu'il est difficile de comprendre (sur laquelle embarquer).|Hay tantas plataformas que sea difícil de entender (a cuál subir).|
1320|tokei wo wasurete jikan ga wakarimasen deshita.|時計を忘れて時間がわかりませんでした。|I forgot my watch and so did not know the time.|J'ai oublié ma montre et donc ne savais pas le temps.|He olvidado mi reloj y así no sabía el tiempo.|
1321|kare wa amari tsuyokunai desu.|彼はあまり強くないです。|He's not so strong.|Il n'est pas si fort.|Él no es tan fuerte.|
1322|kaze wo hiite karada ga itai desu.|風邪をひいて顔が痛いです。|I caught a cold (so badly that) my face hurts.|J'ai attrapé un rhume (si mauvais) mon visage fait mal.|Cogí un resfriado (tan mal que) me duele la cara.|
1323|tenki ga yokute kimochi ga ii desu.|天気が良くて気持ちがいいです。|The weather is so good that I feel great.|Le temps est si bon que je me sens bien.|El clima es tan bueno que me siento muy bien.|
1324|ha ga itakute shokuji ga dekinai.|歯が痛くて食事ができない。|(My) tooth hurts so much that I can't have a meal.|(Ma) dent fait tellement mal que je ne peux pas avoir un repas.|(Mi) diente duele tanto que no puedo tener una comida.|
1325|kono kippu wa tokubetsu de kau mae ni yoyaku ga hitsuyou desu.|この切符和徳別で買う前に必要です。|This ticket is special so it is necessary to place an order before buying it.|Ce billet est spécial il est donc nécessaire de passer une commande avant de l'acheter.|Este billete es especial por lo que es necesario realizar un pedido antes de comprarlo.|
1326|ooyuki de kuruma no jiko ga ooi desu.|大雪で車の事故が多いです。|There is such heavy snow that there are many car accidents.|Il y a tant de neige lourde qu'il ya beaucoup d'accidents de voiture.|Hay tal fuertes nevadas que hay muchos accidentes de tráfico.|
1327|sora ga kyuu ni kuraku narimashita. ame ga furi sou desu.|そら急に暗くなりました。雨が降りそうです。|The sky has suddenly turned dark. It seems that rain will fall.|Le ciel est soudainement devenu noir. Il semble qu'il va tomber de la pluie.|El cielo se ha vuelto casi a oscuras. Parece que la lluvia caerá.|
1328|kodomo ga yane no ue ga imasu. ochisou desu.|子供が屋根の上にいます。落ちそうです。|The children are on top of the roof. It seems that they will fall.|Les enfants sont sur le toit. Il semble qu'ils tomberont.|Los niños están sobre la cubierta. Parece que van a caer.|
1329|watashitachi ga noru no wa ano hachi ji hatsu no shinkansen desu.|私たち乗るのはあの8時発の新幹線です。|Our transportation is that eight o'clock Shinkansen train.|Notre transport est le train Shinkansen de huit heures.|Nuestro transporte es el Shinkansen del 8:00.|
1330|satou buchou to hanashiteiru no wa watashi no yuujin desu.|佐藤部長と話しているのは私の友人です，|The person (currently) speaking with manager Satou is my friend.|La personne parlant (actuellement) avec le directeur Satou est mon ami.|La persona hablando (ahora) con el gerente Sato es mi amigo.|
1331||||||
1332||||||
1333||||||
1334||||||
1335|kono ningyou wa ningen no akachan no you desu.|この人形は人間の赤ちゃんのようです。|This doll looks like a human baby.|Cette poupée ressemble à un bébé humain.|Esta muñeca se parece a un bebé humano.|
1336|sono hanashi wa yume no you desu.|その話は夢のようです。|That story seems like a dream.|Cette histoire semble comme un rêve.|Esta historia parece un sueño.|
1337|gaikokugo wo kiiteiru you desu.|外国語を聞いているようです。|it feels like (I'm) hearing a foreign language.|C'est comme si (j') entends une langue étrangère.|Se siente como (yo) escucho un idioma extranjero.|
1338|mirai no sekai ni iru you desu.|未来の世界にいるようです。|It feels like (I'm) in a future world.|C'est comme si (je suis) dans un monde futur.|Se siente como si (estoy) en un mundo futuro.|
1339|okaasan wa kodomo ni yasai wo tabesasemasu.|お母さんは子供に野菜を食べさせます。|The mother is making her children eat vegetables.|La mère fait ses enfants manger des légumes.|La madre está haciendo sus hijos comer vegetales.|
1340|watashi wa berubooi ni nimotsu wo hakobasemasu.|私はベルボーイに荷物を運ばせます。|I am making the bellboy carry my luggage.|Je fais le groom porter mes bagages.|Estoy haciendo el botones llevar mi equipaje.|
1341||||||
1342||||||
1343|okaasan wa kodomo wo gakkou ni ikasemasu.|お母さんは子供を学校に行かせます。|The mother is making her children go to school.|La mère fait ses enfants aller à l'école.|La madre está haciendo sus hijos ir a la escuela.|
1344||||||
1345|doa wo kichinto shimete kudasai.|ドアをきちんと閉めてください。|Please close the door neatly.|S'il vous plaît fermez la porte d'une manière ordonnée.|Por favor, cierre la puerta cuidadosamente.|
1346|namae wo kichinto katte kudasai.|なあ絵をきちんと書いてください．。|Please write (your) name accurately.|S'il vous plaît écrivez (votre) nom avec précision.|Por favor, escriba (su) nombre con precisión.|
1347|paati mae ni biiru wo katte okimasu.|パーティ前ウニビールを買っておきいます。|Before the party I will buy beer in advance.|Avant la fête, je vais acheter de la bière à l'avance.|Antes de la fiesta voy a comprar cerveza por andelantado.|
1348|goji made ni shigoto ga owaru kanaa.|5時までに仕事が終わるかなあ。|I don't know if (my) work will be finished until 5 o' clock.|Je ne sais pas si (mon) travail sera terminé jusqu'à 5 heures.|No sé si (mi) el trabajo estará terminado hasta las cinco.|
1349|kono kutsu wa choudo ii ka dou ka haite mimasu.|この靴はちょうどいいかどうかはいてみます。|In order to see if these shoes are exactly good or not, I'll put (them) on.|Afin de voir si ces chaussures sont exactement bonnes ou pas, je vais (les) mettre.|Con el fin de ver si estos zapatos son exactamente buenos o no, voy a poner(los).|
1350|kanojo ga kiteimasu ka dou ka mite mimasu.|彼女が来ていますかどうか見てみます。|In order to see if she's coming or not, I'll take a look.|Afin de voir si elle vient ou non, je vais jeter un coup d'oeil.|Con el fin de ver si va a venir o no, voy a echar un vistazo.|
1351||||||
1352||||||
1353|isshoukenmei memo wo shagashita keredomo mitsukararimasendeshita. Shikataganai, mou ichidou kikimasu.|いっしょうけんめいメモを探したけれども見つかりませんでした。仕方がない，もう一度う聞きます。|I looked for the memo very hard but I could not find it. There's nothing to do, I'll listen again.|J'ai cherché le mémo très dûr mais je n'ai pas pu le trouver. Il n'y a rien à faire, je vais écouter à nouveau.|Busqué el memo muy duro pero no lo encontré. No hay nada que hacer, voy a escuchar de nuevo.|
1354||||||
1355|kono heya ni sensei wo irete zenbu de shichinin imasu.|この部屋に先制を入れて全部で七人います。|The teacher enters this room therefore there are seven people altogether.|L'enseignant entre dans cette salle donc il y a sept personnes au total.|El profesor entra en esta sala, por tanto, hay siete personas en total.|
1356|hikidashi no naka ni dentaku ga aru deshou.|引き出しの中に電卓があるでしょう。|There is probably a calculator in the drawer.|Il y a probablement une calculatrice dans le tiroir.|Es probable que haya una calculadora en el cajón.|
1357||||||
1358|kare wa itsumo tadashii iken wo iu deshou.|彼はいつも正しい意見を言うでしょう。|He probably always give a correct opinion.|Il donne probablement toujours une bonne opinion.|Probablemente siempre dan una opinión correcta.|
1359|toukyou no natsu wa mushiatsui deshou.|東京の夏は蒸し暑いでしょう。|The Tokyo Summer is probably sultry.|L'été de Tokyo est probablement étouffant.|El verano de Tokio es probablemente bochornoso.|
1360|kanojo wa yuumei na joyuu deshou.|彼女は有名な女優でしょう。|She is probably a famous actress.|Elle est probablement une actrice célèbre.|Ella es probablemente una actriz famosa.|
1361||||||
1362|himaraya wa sekai no yane to yobareteimasu.|ヒマラヤは世界の屋根と呼ばれています。|The Himalayas are referred to as the Roof of the World.|L'Himalaya est appelé le toit du monde.|El Himalaya se les conoce como el techo del mundo.|
1363|honkon wa touyou no shinju to yobareteimasu.|香港は東洋の真珠と呼ばれています。|Hong Kong is referred to as the Pearl of the Orient.|Hong Kong est appelée la Perle de l'Orient.|Hong Kong se conoce como la Perla de Oriente.|
1364|kirin no kodomo wa umarete sugu aruite you ni narimasu.|キリンの子供は生まれてすぐ歩いてようになります。|The giraffe's offspring is born and immediately comes to walk.|La progéniture de la girafe est né et arrive immédiatement à marcher.|La descendencia de la jirafa nace y viene inmediatamente a caminar.|
1365||||||
1366||||||
1367|koko ni keeki ga hitotsu dake arimasu.|ここにケーキが一つだけあります。|There is only one cake here.|Il n'y a qu'un seul gâteau ici.|Sólo hay un pastel aquí.|
1368||||||
1369||||||
1370||||||
1371||||||
1372||||||
1373|sono jiko ni tsuite no nyuusu wo kikimashita.|その事故についてのニュースを聞きました。|(I) heard the news regarding that accident.|(J'ai) entendu les nouvelles au sujet de cet accident.|(Yo) he oído la noticia con respecto a ese accidente.|
1374|sono ibento ni tsuite no jouhou ga hoshii desu.|そのイベントについての情報がほしいです。|I want information about that event.|Je veux des informations sur cet événement.|Quiero información sobre ese evento.|
1375|nihon no bunka ni tsuite no supiichi wo shimashita.|日本の文化についてのスピーチをしました。|(I) made a speech regarding the Japanese culture.|(J'ai) fait un discours sur la culture japonaise.|(Yo) hizo un discurso con respecto a la cultura japonesa.|
1376|sono jiken ni tsuite nanimo wo shiremasen.|その事件について何もを知れません。|I know nothing about this affair.|Je ne sais rien de cette affaire.|No sé nada sobre este asunto.|
1377|yama no shokubutsu ni tsuite kaite arimasu.|山の植物について書いてあります。|Mountain plants are written (much) about.|On écrit (beaucop) sur les plantes de montagne.|Escriben (mucho) al plantas de montaña.|
1378|kanji no rekishi ni tsuite benkyou ga shitai desu.|漢字の歴史につて勉強したいです。|(I) want to learn about the history of Kanji.|(Je) veux en savoir plus sur l'histoire des kanji.|(Yo) quiero aprender sobre la historia de los kanji.|
1379|nihon no shokuryou wa takai to omoimasu.|日本の食料は高いと思います。|(I) think that the food in Japan is expensive.|(Je) pense que la nourriture au Japon est chère.|(Yo) creo que la comida en Japón es cara.|
1380|yamashita sensei wa rippa da to omoimasu.|山下先生は立派だと思います。|(I) think that Professor Yamashita is handsome.|(Je) pense que le professeur Yamashita est beau.|(Yo) creo que el profesor Yamashita es guapo.|
1381|saeko san wa osake wo nomanai to omoimasu.|冴子さんはお酒を飲まないと思います。|(I) think that Saeko doesn't drink sake.|(Je) pense que Saeko ne boit pas du sake.|(Yo) creo que Saeko no bebe sake.|
1382||||||
1383||||||
1384|kaisha no mensetsu ni iku noni jiinzu wo haiteimasu.|会社の面接に行くのにジーンズをはいています。|Despite going to a company interview (I'm) putting jeans on.|En dépit d'aller à un entretien d'entreprise (je) mets des jeans.|A pesar de ir a una entrevista de empresa (estoy) poniendo pantalones vaqueros.|
1385|pari ni ryuugaku suru yotei datta noni chichi ga byouki de ikemasen deshita.|パリに留学する予定だったのに父が病気で行けませんでした。|Even though (I) had plans to go study (abroad) in Paris, I couldn't go because (my) father was sick.|Bien que (j') avais des plans pour aller étudier (à l'étranger) à Paris, je ne pouvais pas aller parce que (mon) père était malade.|A pesar de que (yo) tenía planes para ir de estudio (en el extranjero) en París, no podía ir porque (mi) padre estaba enfermo.|
1386||||||
1387|kyoshi san wa hon wo yomu no ga daisuki desu.|虚子さんは本を読むのが大好きです。|Kyoshi loves reading books.|Kyoshi aime lire des livres.|Kyoshi le gusta leer libros.|
1388|kyouto ni ikuno wa nikaime desu.|京都に行くのは二回目です。|It is my second time going to Kyoto.|Ç'est la deuxième que (je) vais à Kyoto.|Es la segunda vez que (voy) a Kyoto.|
1389|mensetsu ni kitano wa anata ga sanninme desu.|面接に来たのはあなたは三人目です。|You were the third person coming to the interview.|Vous étiez la troisième personne à venir à l'entrevue.|Usted fue la tercera persona que viene a la entrevista.|
1390|tonikaku eki ni itte kiite mimasu.|とにかく駅に行って聞いてみます。|In any case (I) will ask at the train station to see.|En tout cas (je) demanderai à la gare pour voir.|En cualquier caso (yo) pediré a la estación de tren para ver.|
1391||||||
1392||||||
1393|michi ni mayota kodomo ni oshiete agemasu.|道に迷た子供に教えてあげます。|(He) showed the confused child the way.|(Il) a montré le chemin à l'enfant confus.|(He) mostró el camino al niño confunde.|
1394||||||
1395|taberu toki hanasanai hou ga ii desu.|食べるとき話さないほうがいいです。|It is best not to talk while (you) eat.|Il est préférable de ne pas parler pendant que (vous) mangez.|Es mejor no hablar mientras que (tu) comes.|
1396|konshuujuu ni repooto wo youi shite okanakya kaigi ni maniawasemasen.|今週中にレポートを用意しておかなきゃ会議に間に合わまん。|If you don't get the report ready in advance before the end of the week, you won't be done on time for the meeting. |Si vous ne finissez pas le rapport à l'avance avant la fin de la semaine, vous ne serez pas à temps pour la réunion. |Si usted no termina el informe con antelación antes del final de la semana, no se le haga tiempo hasta la reunión. |
1397|tenjou ga takakunakya kono kurisumasutsurii wa kazaremasen.|天井が高くなきゃこのクリスマス釣りは飾れません。|If the ceiling isn't high you can't decorate (it) with this Christmas tree.|Si le plafond n'est pas élevé, vous ne pouvez pas le décorez avec cet arbre de Noël.|Si el techo no es alto no se puede decorar(lo) con este árbol de Navidad.|
1398|kodomo ga suki de nakya kono shigoto wa dekimasen.|子供が好きでなきゃこの仕事わできません。|If you don't like children you can't take this job.|Si vous ne n'aimez pas les enfants, vous ne pouvez pas accepter ce travail.|Si no te gustan los niños no se puede aceptar este trabajo.|
1399|koutsuu ga benri de nakya hito ga atsumarimasen.|交通が便利でなきゃ人が集まりません。|If the transportation isn't convenient people won't use it.|Si le transport n'est pas pratique les gens ne l'utiliseront pas.|Si el transporte no es conveniente la gente no va a usarlo.|
1400|segatakai hito de nakya marason wa dekimasen.|背が高い人でなきゃマラソンはできません。|If (he's) not a tall person (he) can't do the marathon.|(S'il n'est) pas une personne de grande taille (il) ne peut pas faire le marathon.|Si (él no es) una persona alta (él) no puede hacer el maratón.|
1401||||||
1402|juutai demo au koto ni shimashita.|渋滞でも会うことにしました。|Notwithstanding the traffic, we decided to meet.|En dépit de la circulation, nous avons décidé de nous rencontrer.|A pesar del tráfico, decidimos nos encontrar.|
1403||||||
1404|ashita ame ga furutte.|明日雨が降るって。|I heard the rain will fall tomorrow.|J'ai entendu la pluie tombera demain.|Oí que la lluvia caerá mañana.|
1405|kanojo wa raishuu made isogashiitte.|彼女は来週まで忙しいって。|I heard she's busy until next week.|J'ai entendu qu'elle est occupée jusqu'à la semaine prochaine.|He oído que está ocupada hasta la próxima semana.|
1406|kyoto wa aki ga kirei datte.|京都は秋がきれいだって。|I heard that Autumn in Kyoto is beautiful.|J'ai entendu dire que l'automne à Kyoto est beau.|He oído que en otoño de Kyoto es hermoso.|
1407|shashin ga dekita n datte.|写真ができたんだって。|I heard (you) can make the picture.|J'ai entendu que (vous) pouvez faire l'image.|Oí que (usted) puede hacer la imagen.|
1408|kaisha wo yameru koto ni shimashita.|会社を辞めることにしました。|We decided to stop working at the company.|Nous avons décidé d'arrêter de travailler dans l'entreprise.|Decidimos dejar de trabajar en la empresa.|
1409||||||
1410|konban kara maiban jibun de ryouri wo tsukuru koto ni shimasu.|毎晩から毎晩自分で料理を作ることにします。|I decided that from this evening on, I'll prepare my meals myself.|J'ai décidé que dès ce soir, je vais préparer mes repas moi-même.|Decidí que a partir de esta tarde, voy a preparar mis comidas a mí mismo.|
1411||||||
1412|kondo toukyou ni kita toki wa anata ni renraku suru yo.|東京に来たときは連絡するよ。|Next time I will come to Tokyo (as agreed), I'll be sure to call you in advance.|La prochaine fois que je viendrai à Tokyo (comme convenu), je serai sûr de vous appeler à l'avance.|La próxima vez voy a venir a Tokio (según lo acordado), voy a estar seguro de llamarte con antelación.|
1413||||||
1414|kikai wa amari shiranai keredomo nantoka rajio wo shuuri shita.|機械はあまり知らないけれども何とからじを修理した。|I don't know machinery very well, but somehow I repaired the radio.|Je ne connais pas très bien les machines, mais de toute façon je réparé la radio.|No sé maquinaria muy bien, pero de alguna manera reparé la radio.|
1415|muzukashii tango ga ooi keredomo nantoka imi ga wakarimasu.|難しい単語が多いけれども何とか意味が分かります。|There are lots of complicated words but somehow I understand (them).|Il y a beaucoup de mots compliqués mais je les comprends en quelque sorte (les).|Hay un montón de palabras complicadas, pero de alguna manera entiendo(los).|
1416|kono pen wa inku ga hotondo nai nantoka keredomo kakemasu.|このペンはインクがほとんどない何とかけれども書けます。|There is practically no ink in this pen but somehow it can still write.|Il n'y a pratiquement pas d'encre dans ce stylo, mais en quelque sorte, il peut encore écrire.|Prácticamente no hay tinta en esta pluma pero de alguna manera todavía puede escribir.|
1417||||||
1418|konban konojo ni ata toki juusho wo kiite oite kudasai.|今晩このじょにあったと住所を聞いておいてください。|When you meet her tonight (as decided), please be prepared to write down her address.|Lorsque vous la rencontrerez ce soir (comme c'était décidé), s'il vous plaît soyez prêt à écrire son adresse.|Cuando la encontrará esta noche (según lo que fue decidido), debe estar preparado a escribir su dirección.|
1419|ima ue ni kaete kita bakari desu.|今家に帰って来たばかりです。|I just got home now.|Je viens de rentrer à la maison maintenant.|Recién llegué a casa.|
1420||||||
1421||||||
1422|kodomo wa nemusou na kao wo shiteimasu.|子供は眠そうな顔をしています。|The child is making a sleepy-looking face.|L'enfant fait une allure d'endormi.|El niño está haciendo una cara somnolienta.|
1423|yuuki san wa okotteiru you na kao wo shiteimasu.|結城さんは怒っているような顔をしています。|Yuki is making an angry-looking face.|Yuki fait une allure d'être en colère.|Yuki está haciendo una cara enojada.|
1424|dou shita n desu ka? Sore ga botan wo oshitemo ugokanai desu.|どうしたんですか？それがボタンを押しても動かないです。|What's wrong? Well, I push the button but it doesn’t work.|Qu'est-ce qui ne va pas? Eh bien, je pousse le bouton, mais ça ne fonctionne pas.|¿Qué pasa? Bueno, pulso el botón, pero no funciona.|
1425|kare wa tokei wo shita mama oyoidemasu.|彼は時計をしたまま泳いでいます。|He swims wearing his watch (as-is).|Il nage avec sa montre (comme ça).|Él nada puesto el reloj (como lo es).|
1426|kodomo wa fuku wo kita mama nemashita.|子供は服を着たまま寝ました。|The child fell asleep as-is with the clothes he wore.|L'enfant endormi comme ça avec les vêtements qu'il portait.|El niño se quedó dormido come estaba con la ropa que llevaba.|
1427||||||
1428|taitei ichinichi ni nikai tabemasu.|たいてい一日に二回食べます。|I usually eat twice a day.|Je mange habituellement deux fois par jour.|Por lo general como dos veces al día.|
1429||||||
1430|matte morau kudasai.|待ってもらう下さい。|Please wait for me.|Attendez moi s'il vous plait.|Por favor, espérame.|
1431||||||
1432|mite moraimasu ka?|見てもらいますか？|Can I see (it)?|Est-ce que je peux (le) voir?|Puedo ver(lo)?|
1433|neko da to ii desu ne.|猫だといいですね。|I hope that it's a cat.|J'espère que c'est un chat.|Espero que es un gato.|
1434|ie ga kirei da to ii desu ne.|家がきれいだといいですね。|I hope that the house is beautiful.|J'espère que la maison est belle.|Espero que la casa es hermosa.|
1435|sagashite kureru kudasai.|探してくれるください。|Please search for it (for me).|S'il vous plaît cherchez-le (pour moi).|Por favor, buscalo que (para mí).|
1436|ohanayasan de okaasan ni hana wo katte agemasu.|お花屋さんでお母さん居花を買ってあげます。|I'm buying flowers for my mother from the florist.|J'achète des fleurs pour ma mère chez le fleuriste.|Voy a comprar flores para mi madre de la floristería.|
1437|obaasan wo issho ni tsurete agemasu|おばあさんを一緒に連れてあげます。|I will bring my grandmother along.|Je vais emmener ma grand-mère avec moi.|Voy a traer mi abuela conmigo.|
1438|shacho ga suisenjou wo kaite kuremasu.|社長が推薦状を書いてくれます。|My boss is writing me a recommendation letter.|Mon patron me écrit une lettre de recommandation.|Mi jefe me está escribiendo una carta de recomendación.|
1439|tomodachi ni eigo ni yakushite moraimasu.|友達に英語に訳してもらいます。|I'm translating the movie for my friends.|Je traduis le film pour mes amis.|Estoy traduciendo la película para mis amigos.|
1440|kono hen wa annai shite agemashou ka?|この辺は案内してあげましょうか。|Should I show you the area?|Dois-je vous montrer la région?|¿Debo mostrar la zona?|
1441|(watashi wa) sensei ni bunpo wo setsumei shite moraimasu.|先生に文保を説明してもらいます。|I will have my teacher explain the grammar.|Je vais faire mon professeur expliquer la grammaire.|Voy a hacer mi maestro explicar la gramática.|
1442||||||
1443|sensei wa gakusei ni bunpo wo setsumei shite agemasu.|先生は学生に文保を説明してあげます。|The teacher will explain the grammar to that student.|L'enseignant expliquera la grammaire à cet l'élève.|El profesor explicará la gramática a ese estudiante.|
1444||||||
1445|genki ni naru too ii desu ne.|元気になるといいですね。|I hope (he) gets well.|J'espère (qu'il) sera bien.|Espero (que) se ponga bien.|
1446|watashi no kimatsushiken wa umakuiku to ii desu ne.|私の期末試験はうまくいくといいですね。|Regarding my final exam, I hope it goes well.|En ce qui concerne mon examen final, j'espère que ça ira bien.|En cuanto a mi examen final, espero que vaya bien.|
1447||||||
1448||||||
1449||||||
1450||||||
1451|kurai michi wo hitori de aruku no wa abunai desu.|暗い道を一人で歩くのは危ないです。|Walks alone on the road when it's dark are dangerous.|Les promenades seul sur la route quand il est sombre sont dangereuses.|Caminar solo en la carretera cuando está oscuro es peligroso.|
1452|imouto wa oshaberi da. shizuka na no wa, shokuji no toki da.|妹はおしゃべりだ。静かなのは，食事の時だ。|My younger sister is talkative. There is only silence during meals.|Ma sœur cadette est bavarde. Il n'y a que le silence pendant les repas.|Mi hermana menor es hablador. Sólo hay silencio durante las comidas.|
1453|sono akai no ga omoshiroi desu.|そのあかいのがおもしろいです。|That red one is interesting.|Celui-ci en rouge est intéressant.|Eso en rojo es interesante.|
1454|tsumaranai no wa iya desu.|つまらないのはいやです|I don’t want the boring one.|Je ne veux pas celui qui est ennuyeux.|No quiero eso que es aburrido.|
1455||||||
1456|geemu wo shite mo ii da shukudai wo shita ato de ne.|下エムをしてもいいだ宿題をした後でね。|You can play games after you do (your) homework.|Vous pouvez jouer à des jeux une fois que vous faites (votre) devoirs.|Puedes jugar a juegos después de hacer (su) tarea.|
1457||||||
1458|zou san no takasa wa nan desu ka?|ぞうさんの高さは何ですか？|What is the height of an elephant?|Quelle est la hauteur d'un éléphant?|¿Cuál es la altura de un elefante?|
1459|kono kuruma no shizukasa wa odoroku beki desu.|この車の静かさは驚くべきです。|This car’s quietness is amazing.|Le silence de cette voiture est incroyable.|El silencio de este coche es increíble.|
1460|shachou to o hanashi ni narimashita ka?|社長とお話になりましたか？|Did you speak with the boss? (polite)|Avez-vous parlé avec le patron? (poli)|¿Has hablado con el jefe? (Cortés)|
1461|nanika o nomi ni narimasen ka?|何かお飲みになりませんか？|Won’t you drink something? (polite)|Voulez-vous boire quelque chose? (poli)|¿No le gustaría beber algo? (Cortés)|
1462|o uri kudasai.|お売りください。|Please sell (me this). (honorific)|S'il vous plaît vendez (le moi). (honorifique)|Por favor, vende(mi esto). (honorífico)|
1463|o tabe kudasai.|お食べください。|Please eat. (polite)|Mangez s'il vous plait. (poli)|Por favor come. (Cortés)|
1464|nihongo ga amari jouzu ja nai.|日本語があまり上手じゃない。|I’m not really good at Japanese.|Je ne suis pas vraiment bon au japonais.|No soy muy bueno en japonés.|
1465|tatoe sekai ga owattemo…|たとえ世界が終わっても・・・|Even if the world ends…|Même si le monde se termine ...|Incluso si se acaba el mundo ...|
1466|tatoe shippai shitemo mata ganbarimashou.|たとえ失敗してもまた頑張りましょう。|Even if we fail, let’s keep at it.|Même si nous ne parvenons pas, nous allons persévérer.|Incluso si nos fallamos, vamos a mantener a la misma.|
1467|tatoe nido to aenaku temo wasuremasen.|たとえ二度と会えなくても忘れません。|Even if we shall never meet again, I won’t forget.|Même si nous ne nous reverrons plus, je n'oublierai pas.|Incluso si nunca nos encontraremos de nuevo, no voy a olvidar.|
1468|isshuu kan hodo|一週間ほど。|About a week.|Environ une semaine.|Alrededor de una semana.|
1469|eki wa jukkiro hodo saki desu.|駅は１０キロほどさきです。|The train station is about ten kilometers ahead.|La gare de train est environ à une dizaine de kilomètres en avant.|La estación de tren está a unos diez kilómetros por delante.|
1470|kore wa go sen en hodo de kaemasu.|これは５０００円ほどで買えます。|This can be bought for about 5000 yen.|Cela peut être acheté pour environ 5000 yens.|Esto se puede comprarse por alrededor de 5.000 yenes.|
1471|nani ni shimasu ka?|なににしますか？|What will you have?|Qu'auras-tu?|Que vas a tomar?|
1472|watashi wa tenpura ni shimasu.|私はてんぷらにします。|I’ll have tempura.|Je vais avoir du tempura.|Voy a tener tempura.|
1473|amerika ni itta koto ga arimasu ka?|アメリカに行ったことがありますか？|Have you been to America?|Êtes-vous allé en Amérique?|¿Has estado en América?|
1474|nattou o tabeta koto ga arimasu.|納豆を食べたことがあります。|(I) have eaten natto before.|(J') ai mangé du natto auparavant.|(Yo) he comido natto antes.|
1475|keeki o tabe naide kudasai.|ケーキを食べないでください。|Please don’t eat the cake.|S'il vous plaît ne mangez pas le gâteau.|Por favor, no come la torta.|
1476|sukaidaibingu o shinaide kudasai.|スカイダイビングをしないでください。|Please don’t go skydiving.|S'il vous plaît ne faites pas la chute libre.|Por favor, no haga paracaidismo.|
1477|kanji no yomi kata.|漢字の読み方。|The way to read a Kanji.|La façon de lire un kanji.|La manera de leer un kanji.|
1478|hashi no tadashii tsukai kata o oshiete kudasai.|はしの正しい使い方を教えてください。|Please teach me how to use chopsticks correctly.|S'il vous plaît apprenez-moi comment utiliser correctement les baguettes.|Por favor, enséñame cómo usar los palillos correctamente.|
1479||||||
1480|yasui no ga hoshii.|安いのがほしい。|I want the cheap one.|Je veux celui qui n'est pas cher.|Quiero el barato.|
1481|nani wo shite iru n desu ka .|何をしているんですか。|Whatcha doing?|Tu fais quoi?|¿Qué estás haciendo?|
1482|ittai, doushita n desu ka?|いったい、どうしたんですか？|Just what exactly happened (to you)!?|Qu'est-ce qui est (vous est) arrivé exactement!?|Justo que ocurrió exactamente (a Usted)!?|
1483||||||
1484|shiranai hito to hanashite wa ikemasen.|知らない人と話してはいけません。|Don’t speak to strangers.|Ne parlez pas aux étrangers.|No hable con extraños.|
1485|bangumi ni tsuite no oshirase desu.|番組についてのお知らせです。 |This is an announcement about the program (e.g. TV).|Ceci est une annonce sur le programme (par ex. de télévision).|Se trata de un anuncio sobre el programa (p.e.j. de televisión).|
1486|ano eiga ni tsuite dou omou?|あの映画についてどう思う？ |What do you think about that movie?|Que pensez-vous de ce film?|¿Qué opinas sobre la película?|
1487|tabemono no naka wa nani ga ichiban suki desu ka?|食べ物の中で何が一番好きですか？|Out of all foods, what do you like the best?|De tous les aliments, qu'est-ce que vous aimez le mieux?|Fuera de todos los alimentos, ¿qué te gusta más?|
1488||||||
1489|joudan wo ittemo, kare wa waraimasen. |冗談を言っても、彼は笑いません。|Even if you tell a joke, he won’t laugh.|Même si vous dites une blague, il ne rira pas.|Incluso si usted cuenta una broma, no va a reír.|
1490||||||
1491|suupaman demo sonna koto wa dekinai yo.|スーパマンでも、そんなことはできないよ。|Even Superman can’t do that!|Même Superman ne peut pas faire ça!|Incluso Superman no puede hacer eso!|
1492||||||
1493||||||
1494|jiko no tame.|事故の為。|Because of the accident.|En raison de l'accident.|Debido al accidente.|
1495|jiko ga atta tame.|事故があったため。|Because there was an accident.|Parce qu'il y avait un accident.|Debido a que fue un accidente.|
1496||||||
1497||||||
1498||||||
1499||||||
